Santoshpur Sonar Tori Durgatsav,22.49184,88.37854,Santoshpur Sonar Tori Durgatsav is a renowned Durga puja in South Kolkata (Calcutta);
Abasar Sarbojonin,22.52756,88.34889,Abasar Sarbojonin is a renowned Durga puja in South Kolkata (Calcutta);
Goal Math,22.52642,88.34986,Goal Math is a renowned Durga puja in South Kolkata (Calcutta);
Barisha Netaji Sangha,22.48385,88.31462,Barisha Netaji Sangha is a renowned Durga puja in South Kolkata (Calcutta);
Behala Buroshibtala Janakalyan Sangha,22.50228,88.32973,Behala Buroshibtala Janakalyan Sangha is a renowned Durga puja in South Kolkata (Calcutta);
Jogajatri Club,22.50161,88.33128,Jogajatri Club is a renowned Durga puja in South Kolkata (Calcutta);
Surya Nagar Sarbojanin,22.47489,88.35934,Surya Nagar Sarbojanin is a renowned Durga puja in South Kolkata (Calcutta);
Golden Arrow Club,22.51629,88.34758,Golden Arrow Club is a renowned Durga puja in South Kolkata (Calcutta);
Purbachal Shakti Sangha,22.50475,88.38811,Purbachal Shakti Sangha is a renowned Durga puja in South Kolkata (Calcutta);
Naskarpur Sarbojanin,22.50657,88.31206,Naskarpur Sarbojanin is a renowned Durga puja in South Kolkata (Calcutta);
64 Pally,22.52678,88.34651,64 Pally is a renowned Durga puja in South Kolkata (Calcutta);
95 Pally,22.50762,88.36295,95 Pally is a renowned Durga puja in South Kolkata (Calcutta);
Bandhab Sammilani,22.50781,88.36766,Bandhab Sammilani is a renowned Durga puja in South Kolkata (Calcutta);
The Bengal Boys Training Association,22.51755,88.34117,The Bengal Boys Training Association is a renowned Durga puja in South Kolkata (Calcutta);
Nepal Bhattacharjee Street,22.51778,88.34104,Nepal Bhattacharjee Street is a renowned Durga puja in South Kolkata (Calcutta);
Roynagar Unnayan Samity,22.47242,88.36017,Roynagar Unnayan Samity is a renowned Durga puja in South Kolkata (Calcutta);
Shyamapally Shyama Sangha,22.49152,88.37158,Shyamapally Shyama Sangha is a renowned Durga puja in South Kolkata (Calcutta);
Bhowanipur Swadhin Sangha,22.53199,88.34623,Bhowanipur Swadhin Sangha is a renowned Durga puja in South Kolkata (Calcutta);
Jatra Suru Sangha,22.47061,88.37771,Jatra Suru Sangha is a renowned Durga puja in South Kolkata (Calcutta);
Judge Bagan Recreation Club,22.47732,88.33895,Judge Bagan Recreation Club is a renowned Durga puja in South Kolkata (Calcutta);
Rupchand Mukherjee Lane Sarbojanin,22.52727,88.34494,Rupchand Mukherjee Lane Sarbojanin is a renowned Durga puja in South Kolkata (Calcutta);
Lake Pally Sarbojanin,22.50725,88.34623,Lake Pally Sarbojanin is a renowned Durga puja in South Kolkata (Calcutta);
